,transaction_id,date,product_id,store_id,customer_id,quantity,discount,returned,category,color,size,season,supplier,cost_price,list_price,store_name,region,store_size_m2,age,gender,city,revenue,profit,date_by_month,repeat_flag,discount_rate
35,T0000021,2021-04-21,P001095,S005,C015618,3,0.0,0,Tops,White,S,Winter,supplierc,15.73,41.36,Coimbra Boutique,Coimbra,238,31,Male,Coimbra,124.08,76.89,2021-04,Repeat,
36,T0001814,2021-02-24,P001141,S003,C010001,4,0.0,1,Accessories,Blue,M,Winter,suppliera,61.98,123.59,Faro Outlet,Algarve,336,65,Other,Faro,494.36,246.44000000000003,2021-02,Repeat,
37,T0000665,2022-01-15,P001203,S001,C012487,4,0.0,0,Tops,Red,L,Summer,suppliera,56.46,167.8,Lisbon Flagship,Lisbon,179,62,Other,Lisbon,671.2,445.36,2022-01,Repeat,
38,T0001799,2022-07-20,P001246,S001,C003261,3,0.0,0,Tops,Yellow,M,Winter,supplierc,24.81,141.3,Lisbon Flagship,Lisbon,179,62,Female,Braga,423.90000000000003,349.47,2022-07,Repeat,
39,T0000446,2022-03-21,P001397,S001,C002924,2,0.0,0,Shoes,Green,M,Spring,supplierd,73.09,114.38,Lisbon Flagship,Lisbon,179,47,Female,Braga,228.76,82.57999999999998,2022-03,Repeat,
40,T0000565,2024-11-26,P001400,S003,C018835,2,0.1,0,Tops,Yellow,XS,Fall,suppliera,76.62,125.93,Faro Outlet,Algarve,336,45,Other,Braga,226.674,98.62,2024-11,One-time,0-10%
41,T0001125,2021-01-27,P001459,S005,C002412,3,0.1,0,Dresses,Green,S,Spring,supplierd,50.57,177.13,Coimbra Boutique,Coimbra,238,35,Male,Faro,478.251,379.68,2021-01,Repeat,0-10%
42,T0001228,2020-01-06,P001482,S003,C013652,2,0.0,1,Accessories,Green,XL,Winter,supplierb,56.43,145.67,Faro Outlet,Algarve,336,18,Female,Faro,291.34,178.47999999999996,2020-01,Repeat,
43,T0002008,2023-06-10,P001494,S005,C012572,2,0.0,0,Shoes,Red,S,Fall,suppliera,20.04,15.54,Coimbra Boutique,Coimbra,238,59,Male,Porto,31.08,-9.0,2023-06,Repeat,
44,T0001888,2023-11-06,P001527,S004,C004556,2,0.3,0,Shoes,Green,XL,Summer,supplierc,40.93,63.91,Online,Online,950,67,Male,Lisbon,89.47399999999999,45.959999999999994,2023-11,Repeat,20-30%
45,T0001182,2020-04-19,P001534,S001,C006396,2,0.0,1,Tops,Green,L,Fall,suppliera,70.08,111.4,Lisbon Flagship,Lisbon,179,65,Female,Coimbra,222.8,82.64000000000001,2020-04,Repeat,
46,T0000090,2021-07-23,P001672,S005,C006813,1,0.1,0,Bottoms,White,M,Fall,supplierd,75.21,77.75,Coimbra Boutique,Coimbra,238,25,Male,Coimbra,69.97500000000001,2.5400000000000063,2021-07,Repeat,0-10%
47,T0000895,2020-02-25,P001736,S005,C018369,1,0.1,0,Dresses,Yellow,M,Winter,supplierb,52.05,93.31,Coimbra Boutique,Coimbra,238,41,Other,Faro,83.979,41.260000000000005,2020-02,Repeat,0-10%
48,T0000551,2022-01-16,P001765,S004,C019212,3,0.0,0,Bottoms,Yellow,XS,Spring,supplierc,73.92,39.94,Online,Online,950,29,Male,Lisbon,119.82,-101.94000000000001,2022-01,Repeat,
49,T0000857,2023-03-25,P001770,S005,C016144,3,0.0,0,Bottoms,Black,XS,Winter,supplierb,34.95,94.04,Coimbra Boutique,Coimbra,238,35,Female,Porto,282.12,177.27,2023-03,Repeat,
50,T0001087,2022-07-06,P001803,S002,C003009,1,0.2,0,Shoes,Black,XL,Fall,suppliera,9.2,82.85,Porto Center,Porto,728,26,Other,Faro,66.28,73.64999999999999,2022-07,Repeat,10-20%
51,T0001047,2022-08-09,P001826,S003,C017115,2,0.0,0,Accessories,Green,M,Spring,suppliera,55.54,118.0,Faro Outlet,Algarve,336,22,Female,Faro,236.0,124.92,2022-08,Repeat,
52,T0000304,2021-03-14,P001879,S004,C003722,2,0.0,0,Shoes,Blue,XS,Summer,supplierd,20.61,76.73,Online,Online,950,50,Female,Porto,153.46,112.24000000000001,2021-03,Repeat,
53,T0000863,2024-03-23,P001889,S004,C017160,1,0.0,0,Bottoms,Red,L,Winter,supplierd,5.24,28.79,Online,Online,950,22,Female,Coimbra,28.79,23.549999999999997,2024-03,Repeat,
54,T0001332,2020-11-25,P001893,S001,C012145,1,0.0,0,Shoes,Green,L,Winter,supplierc,46.3,24.88,Lisbon Flagship,Lisbon,179,38,Other,Braga,24.88,-21.419999999999998,2020-11,Repeat,
55,T0001249,2023-07-04,P001894,S001,C015645,4,0.0,0,Shoes,Red,L,Winter,suppliera,36.86,189.33,Lisbon Flagship,Lisbon,179,42,Male,Coimbra,757.32,609.8800000000001,2023-07,Repeat,
56,T0000322,2021-12-26,P001897,S003,C019004,1,0.0,0,Accessories,Blue,XS,Fall,supplierb,35.7,181.69,Faro Outlet,Algarve,336,34,Male,Faro,181.69,145.99,2021-12,Repeat,
57,T0000217,2023-06-01,P001905,S001,C011218,2,0.0,0,Bottoms,Red,M,Winter,supplierd,39.68,97.57,Lisbon Flagship,Lisbon,179,48,Other,Coimbra,195.14,115.77999999999999,2023-06,Repeat,
58,T0000928,2024-03-14,P001911,S001,C010381,2,0.2,0,Tops,Green,XL,Fall,supplierd,66.73,46.04,Lisbon Flagship,Lisbon,179,32,Other,Braga,73.664,-41.38000000000001,2024-03,Repeat,10-20%
59,T0000352,2020-06-03,P001923,S004,C002062,2,0.1,0,Tops,White,S,Spring,suppliera,26.67,110.28,Online,Online,950,28,Male,Faro,198.50400000000002,167.22,2020-06,Repeat,0-10%
60,T0001463,2022-02-23,P001924,S004,C002896,4,0.0,0,Tops,White,L,Fall,suppliera,21.24,138.47,Online,Online,950,45,Other,Lisbon,553.88,468.92,2022-02,Repeat,
61,T0000198,2022-06-09,P001961,S004,C008338,1,0.0,0,Shoes,Blue,M,Summer,suppliera,25.84,163.36,Online,Online,950,61,Other,Braga,163.36,137.52,2022-06,Repeat,
62,T0000433,2022-05-08,P001994,S001,C005573,3,0.0,0,Bottoms,Red,M,Winter,suppliera,39.76,167.16,Lisbon Flagship,Lisbon,179,34,Unknown,Lisbon,501.48,382.20000000000005,2022-05,Repeat,
63,T0001625,2024-05-12,P002001,S002,C008207,1,0.0,0,Bottoms,Green,L,Winter,supplierb,73.41,61.69,Porto Center,Porto,728,26,Male,Braga,61.69,-11.719999999999999,2024-05,Repeat,
64,T0001817,2024-04-16,P002018,S004,C017435,4,0.1,0,Tops,Red,L,Fall,supplierd,78.46,14.59,Online,Online,950,65,Male,Braga,52.524,-255.47999999999996,2024-04,Repeat,0-10%
65,T0000471,2022-01-26,P002032,S005,C017648,1,0.0,0,Tops,Blue,M,Summer,supplierb,38.53,144.83,Coimbra Boutique,Coimbra,238,46,Other,Lisbon,144.83,106.30000000000001,2022-01,Repeat,
66,T0001518,2022-02-17,P002046,S001,C003249,1,0.0,0,Bottoms,White,L,Fall,supplierb,65.52,90.1,Lisbon Flagship,Lisbon,179,56,Male,Faro,90.1,24.58,2022-02,Repeat,
67,T0001916,2024-06-12,P002056,S005,C010631,4,0.0,0,Bottoms,Blue,XL,Summer,supplierb,16.38,19.47,Coimbra Boutique,Coimbra,238,19,Other,Faro,77.88,12.36,2024-06,Repeat,
68,T0000235,2024-07-10,P002080,S002,C018096,2,0.0,0,Bottoms,Green,S,Spring,supplierb,27.76,129.42,Porto Center,Porto,728,26,Other,Porto,258.84,203.31999999999996,2024-07,Repeat,
69,T0000864,2022-03-09,P002080,S003,C003967,1,0.0,0,Bottoms,Green,S,Spring,supplierb,27.76,129.42,Faro Outlet,Algarve,336,38,Other,Braga,129.42,101.65999999999998,2022-03,Repeat,
70,T0001431,2021-11-27,P002103,S004,C007335,2,0.0,0,Shoes,Yellow,M,Fall,suppliera,71.15,49.29,Online,Online,950,26,Female,Coimbra,98.58,-43.72000000000001,2021-11,One-time,
71,T0001015,2024-12-30,P002114,S004,C017158,1,0.0,0,Shoes,Yellow,L,Spring,supplierd,14.19,191.52,Online,Online,950,33,Other,Porto,191.52,177.33,2024-12,One-time,
72,T0001012,2022-06-06,P002144,S004,C014239,1,0.1,0,Dresses,Blue,L,Summer,supplierb,18.86,138.5,Online,Online,950,19,Other,Faro,124.65,119.64,2022-06,Repeat,0-10%
73,T0001223,2021-05-06,P002145,S002,C008845,3,0.0,0,Accessories,Blue,XL,Spring,supplierd,68.42,177.31,Porto Center,Porto,728,31,Female,Porto,531.9300000000001,326.67,2021-05,Repeat,
74,T0000540,2023-01-22,P002149,S001,C014131,1,0.0,0,Shoes,White,XS,Fall,supplierd,22.0,179.54,Lisbon Flagship,Lisbon,179,27,Other,Porto,179.54,157.54,2023-01,Repeat,
75,T0001910,2021-08-26,P002237,S004,C008686,1,0.1,0,Bottoms,White,L,Winter,supplierb,57.62,73.63,Online,Online,950,18,Other,Lisbon,66.267,16.009999999999998,2021-08,Repeat,0-10%
76,T0000151,2023-01-08,P002241,S004,C011680,2,0.0,0,Dresses,Green,L,Fall,supplierb,38.1,56.72,Online,Online,950,34,Other,Faro,113.44,37.239999999999995,2023-01,Repeat,
77,T0000707,2023-05-27,P002251,S004,C016897,2,0.0,1,Dresses,Yellow,S,Summer,supplierd,69.4,39.76,Online,Online,950,24,Female,Porto,79.52,-59.280000000000015,2023-05,One-time,
78,T0001676,2022-01-19,P002271,S004,C019602,3,0.0,0,Accessories,Blue,XS,Spring,suppliera,55.4,85.74,Online,Online,950,47,Female,Lisbon,257.21999999999997,91.01999999999998,2022-01,Repeat,
79,T0002036,2023-07-20,P002278,S001,C005644,1,0.0,0,Dresses,White,L,Summer,supplierc,59.43,127.01,Lisbon Flagship,Lisbon,179,33,Other,Porto,127.01,67.58000000000001,2023-07,Repeat,
80,T0000423,2022-04-06,P002288,S004,C000204,3,0.1,1,Shoes,White,L,Spring,supplierc,50.24,81.96,Online,Online,950,60,Male,Braga,221.292,95.15999999999997,2022-04,Repeat,0-10%
81,T0001670,2020-12-25,P002341,S004,C012949,3,0.1,0,Tops,Green,S,Winter,suppliera,25.37,69.97,Online,Online,950,67,Male,Faro,188.919,133.79999999999998,2020-12,Repeat,0-10%
82,T0002081,2023-10-20,P002341,S005,C010128,3,0.0,0,Tops,Green,S,Winter,suppliera,25.37,69.97,Coimbra Boutique,Coimbra,238,45,Male,Lisbon,209.91,133.79999999999998,2023-10,Repeat,
83,T0001506,2021-11-24,P002370,S005,C016455,4,0.0,0,Tops,Unknown,XS,Summer,supplierc,77.67,43.29,Coimbra Boutique,Coimbra,238,63,Female,Braga,173.16,-137.52,2021-11,One-time,
84,T0000662,2024-02-18,P002370,S004,C011273,1,0.1,0,Tops,Unknown,XS,Summer,supplierc,77.67,43.29,Online,Online,950,51,Other,Braga,38.961,-34.38,2024-02,Repeat,0-10%
85,T0001509,2022-03-25,P002442,S001,C012797,2,0.1,0,Shoes,Red,M,Fall,supplierd,27.51,192.78,Lisbon Flagship,Lisbon,179,18,Unknown,Faro,347.004,330.54,2022-03,One-time,0-10%
86,T0000005,2021-07-17,P002476,S003,C005857,4,0.0,0,Tops,Blue,M,Fall,supplierd,65.12,23.31,Faro Outlet,Algarve,336,33,Other,Porto,93.24,-167.24,2021-07,One-time,
87,T0001709,2020-01-29,P002487,S002,C006364,1,0.0,1,Tops,Unknown,XL,Fall,supplierb,40.31,191.38,Porto Center,Porto,728,63,Female,Lisbon,191.38,151.07,2020-01,Repeat,
88,T0001134,2023-05-07,P002497,S002,C018804,3,0.1,0,Tops,Green,XL,Summer,suppliera,16.34,79.2,Porto Center,Porto,728,21,Other,Faro,213.84000000000003,188.57999999999998,2023-05,One-time,0-10%
89,T0001580,2021-06-04,P002498,S003,C003284,1,0.2,0,Shoes,Red,L,Fall,supplierb,14.66,137.2,Faro Outlet,Algarve,336,41,Female,Coimbra,109.75999999999999,122.53999999999999,2021-06,Repeat,10-20%
90,T0001686,2021-08-27,P002515,S002,C011877,1,0.1,0,Bottoms,Blue,L,Spring,supplierb,11.18,193.31,Porto Center,Porto,728,17,Female,Porto,173.979,182.13,2021-08,Repeat,0-10%
91,T0001759,2023-10-05,P002519,S003,C013658,3,0.2,0,Bottoms,Blue,M,Winter,supplierc,51.92,23.81,Faro Outlet,Algarve,336,31,Other,Porto,57.144,-84.33000000000001,2023-10,Repeat,10-20%
92,T0000560,2020-07-29,P002538,S005,C017949,2,0.3,0,Tops,Green,L,Summer,supplierc,8.55,51.22,Coimbra Boutique,Coimbra,238,59,Other,Braga,71.708,85.34,2020-07,One-time,20-30%
93,T0001998,2021-07-24,P002540,S001,C007060,3,0.1,0,Shoes,Black,L,Summer,supplierd,66.02,134.2,Lisbon Flagship,Lisbon,179,47,Female,Faro,362.34,204.53999999999996,2021-07,Repeat,0-10%
94,T0000924,2024-09-05,P002580,S002,C010533,2,0.0,0,Dresses,Black,XS,Winter,suppliera,74.15,102.56,Porto Center,Porto,728,58,Other,Porto,205.12,56.81999999999999,2024-09,One-time,
95,T0000327,2024-02-02,P002590,S003,C018709,1,0.0,1,Dresses,Green,M,Spring,suppliera,39.74,157.8,Faro Outlet,Algarve,336,35,Male,Coimbra,157.8,118.06,2024-02,Repeat,
96,T0000672,2023-09-20,P002708,S005,C002287,3,0.1,0,Tops,Yellow,XS,Spring,suppliera,38.63,137.34,Coimbra Boutique,Coimbra,238,56,Male,Faro,370.818,296.13,2023-09,Repeat,0-10%
97,T0000193,2024-04-23,P002724,S002,C016454,2,0.0,0,Tops,Green,L,Spring,supplierd,69.23,171.73,Porto Center,Porto,728,32,Female,Faro,343.46,204.99999999999997,2024-04,One-time,
98,T0001908,2023-05-08,P002724,S003,C015455,1,0.0,0,Tops,Green,L,Spring,supplierd,69.23,171.73,Faro Outlet,Algarve,336,62,Female,Faro,171.73,102.49999999999999,2023-05,One-time,
99,T0002051,2024-05-09,P002724,S004,C002453,3,0.0,0,Tops,Green,L,Spring,supplierd,69.23,171.73,Online,Online,950,59,Other,Porto,515.1899999999999,307.49999999999994,2024-05,Repeat,
100,T0001124,2021-01-14,P002745,S005,C018820,3,0.0,0,Bottoms,White,S,Fall,supplierc,64.6,61.71,Coimbra Boutique,Coimbra,238,30,Male,Coimbra,185.13,-8.66999999999998,2021-01,Repeat,
101,T0000810,2024-09-16,P002757,S003,C008323,2,0.0,0,Accessories,Yellow,XL,Spring,suppliera,72.86,19.5,Faro Outlet,Algarve,336,27,Male,Coimbra,39.0,-106.72,2024-09,Repeat,
102,T0001258,2023-08-19,P002777,S004,C016719,2,0.1,0,Tops,Blue,M,Winter,supplierd,49.35,42.28,Online,Online,950,45,Other,Lisbon,76.104,-14.14,2023-08,Repeat,0-10%
103,T0000786,2022-12-23,P002784,S004,C015268,1,0.1,0,Dresses,Yellow,XS,Fall,supplierc,65.58,24.41,Online,Online,950,36,Female,Faro,21.969,-41.17,2022-12,Repeat,0-10%
104,T0000547,2022-05-30,P002805,S004,C005761,1,0.2,0,Dresses,Yellow,XS,Winter,supplierd,72.39,67.83,Online,Online,950,40,Other,Faro,54.264,-4.560000000000002,2022-05,Repeat,10-20%
105,T0001718,2021-06-20,P002823,S004,C017165,1,0.0,0,Accessories,Yellow,XS,Winter,supplierc,75.09,45.09,Online,Online,950,68,Female,Lisbon,45.09,-30.0,2021-06,Repeat,
106,T0002076,2020-08-21,P002873,S002,C011667,3,0.0,0,Dresses,White,XL,Summer,supplierb,51.37,55.29,Porto Center,Porto,728,42,Female,Coimbra,165.87,11.760000000000005,2020-08,Repeat,
107,T0001700,2023-10-13,P002913,S002,C017345,2,0.1,0,Dresses,White,XL,Fall,supplierb,79.52,161.42,Porto Center,Porto,728,56,Male,Braga,290.556,163.79999999999998,2023-10,Repeat,0-10%
108,T0001861,2020-05-10,P002920,S004,C019461,4,0.0,0,Tops,White,XS,Winter,supplierc,71.63,70.4,Online,Online,950,68,Other,Faro,281.6,-4.919999999999959,2020-05,Repeat,
109,T0000190,2023-01-04,P002933,S003,C012810,1,0.0,0,Dresses,White,L,Fall,supplierc,12.84,52.38,Faro Outlet,Algarve,336,39,Female,Lisbon,52.38,39.540000000000006,2023-01,Repeat,
110,T0000912,2021-03-09,P002953,S002,C002360,1,0.0,0,Bottoms,Red,L,Winter,supplierc,14.79,75.32,Porto Center,Porto,728,35,Female,Faro,75.32,60.529999999999994,2021-03,Repeat,
111,T0001876,2024-11-10,P002962,S001,C013640,1,0.3,0,Accessories,Blue,S,Winter,suppliera,34.2,188.08,Lisbon Flagship,Lisbon,179,54,Male,Faro,131.656,153.88,2024-11,One-time,20-30%
112,T0001982,2020-07-31,P003009,S001,C015944,3,0.0,0,Tops,Yellow,XS,Spring,supplierd,34.53,24.98,Lisbon Flagship,Lisbon,179,27,Female,Faro,74.94,-28.650000000000002,2020-07,One-time,
113,T0001645,2024-03-27,P003129,S004,C017084,4,0.1,0,Accessories,Red,S,Spring,suppliera,38.83,57.73,Online,Online,950,57,Other,Lisbon,207.828,75.6,2024-03,Repeat,0-10%
114,T0000733,2023-10-09,P003192,S002,C002927,2,0.2,0,Tops,Black,S,Winter,supplierd,8.87,160.72,Porto Center,Porto,728,40,Male,Faro,257.152,303.7,2023-10,One-time,10-20%
115,T0001566,2020-12-24,P003285,S001,C018868,4,0.1,0,Dresses,Yellow,XL,Fall,supplierb,11.77,197.74,Lisbon Flagship,Lisbon,179,22,Male,Coimbra,711.864,743.88,2020-12,One-time,0-10%
116,T0001456,2022-07-21,P003317,S003,C017612,2,0.0,0,Tops,Green,M,Winter,suppliera,62.65,181.9,Faro Outlet,Algarve,336,53,Other,Lisbon,363.8,238.5,2022-07,One-time,
117,T0000162,2022-10-07,P003319,S001,C006702,1,0.1,0,Dresses,Green,XS,Winter,supplierd,59.08,129.64,Lisbon Flagship,Lisbon,179,67,Male,Faro,116.67599999999999,70.55999999999999,2022-10,Repeat,0-10%
118,T0000199,2020-11-19,P003358,S001,C010484,1,0.0,1,Accessories,White,XL,Summer,supplierc,5.43,59.14,Lisbon Flagship,Lisbon,179,62,Female,Coimbra,59.14,53.71,2020-11,Repeat,
119,T0001713,2022-07-20,P003362,S004,C011798,3,0.0,0,Bottoms,Blue,XL,Spring,supplierd,16.22,192.93,Online,Online,950,30,Female,Porto,578.79,530.13,2022-07,Repeat,
120,T0001290,2024-02-13,P003372,S005,C000964,2,0.0,0,Shoes,Green,S,Fall,supplierc,43.16,153.19,Coimbra Boutique,Coimbra,238,64,Male,Faro,306.38,220.06,2024-02,One-time,
121,T0001741,2021-09-10,P003374,S004,C011846,2,0.0,0,Unknown,Blue,L,Fall,supplierc,58.39,70.39,Online,Online,950,51,Other,Porto,140.78,24.0,2021-09,Repeat,
122,T0000708,2023-09-02,P003394,S001,C020244,2,0.0,0,Accessories,Blue,M,Summer,supplierc,9.78,67.51,Lisbon Flagship,Lisbon,179,67,Female,Braga,135.02,115.46000000000001,2023-09,Repeat,
123,T0001065,2024-12-07,P003414,S003,C010568,4,0.0,0,Shoes,Red,L,Spring,supplierd,40.76,114.14,Faro Outlet,Algarve,336,24,Other,Lisbon,456.56,293.52,2024-12,Repeat,
124,T0000814,2024-05-11,P003437,S002,C005384,4,0.1,0,Accessories,White,S,Spring,suppliera,8.6,193.56,Porto Center,Porto,728,57,Other,Coimbra,696.816,739.84,2024-05,One-time,0-10%
125,T0000950,2020-08-22,P003447,S005,C020147,1,0.1,0,Tops,Yellow,XL,Summer,supplierd,6.26,188.81,Coimbra Boutique,Coimbra,238,36,Male,Coimbra,169.929,182.55,2020-08,Repeat,0-10%
126,T0000626,2024-09-23,P003452,S002,C013633,2,0.1,0,Accessories,Unknown,S,Spring,supplierd,10.64,197.72,Porto Center,Porto,728,58,Female,Braga,355.896,374.15999999999997,2024-09,Repeat,0-10%
127,T0001845,2022-01-03,P003456,S003,C005968,1,0.0,0,Accessories,Blue,S,Spring,supplierb,14.29,110.06,Faro Outlet,Algarve,336,66,Male,Braga,110.06,95.77000000000001,2022-01,Repeat,
